#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"Melodia","Melinda Ademi",0,99,"albanian pop","Pop","Melodia",2021-11-06,02:50,57,74,28,0,42,10,10,-7,D#/E♭ Minor,4,2023-06-03,4kyD4246gRwjuQTV2lZC1D,"℗ & © AVD Digital & Melinda Ademi",2A,,https://i.scdn.co/image/ab67616d000048514a5d20db28e1e8e89be5aa4e
2,"A mke dasht","Melinda Ademi,Ledri Vula",50,113,"albanian pop, albanian hip hop, kosovan pop","Hip Hop, Pop","A mke dasht",2022-07-13,03:26,88,69,5,0,57,0,0,-6,D#/E♭ Minor,4,2023-06-03,5rEU32oi1QheLYBTXTVTDR,"Melinda Ademi",2A,https://p.scdn.co/mp3-preview/df77f65bb8a10f3932ef3d9d4e13ad3cc1fe4854?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512c3fd92cec2cf36629824734
3,"Monotonia","2Ton,Nego",40,96,"albanian hip hop, albanian pop","Hip Hop, Pop","Monotonia",2022-10-21,02:31,76,74,48,0,66,10,10,-5,E Major,4,2023-06-03,6MIC54EexRABzYduuqb4hB,"2Ton, by Yellowcake, Inc.",12B,https://p.scdn.co/mp3-preview/ed865ffa46909e62ef133c1ccb56feece0290035?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515dbdf87df179ce20a6cec0ff
4,"KARMA","Nego",33,91,"albanian pop","Pop","KARMA",2020-12-19,02:59,53,93,14,0,88,10,10,-5,G#/A♭ Minor,4,2023-06-03,4lSj5aP1q3o0Rj6WDLogkm,"Naser Ademi",1A,https://p.scdn.co/mp3-preview/987e13bf3e130626e2ac03c7ab6798114374c310?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516c300d046efecee754457efd
5,"Toata noaptea - Speed Up Version","Juno,MIRA",13,105,"romanian pop, romanian trap","Pop, Hip Hop","Toata noaptea (Speed Up Version)",2022-10-05,02:33,69,80,27,0,66,10,10,-8,C♯/D♭ Major,4,2023-06-03,1oC66EklXMiASkqHwXBsQU,"HaHaHa Production",3B,https://p.scdn.co/mp3-preview/732adb0fffb9f2733afe5e214d733664d2f32afb?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511e06a83aacf197f3cabdc6f3
6,"Răsărit perfect","Olivia Addams",50,122,"romanian pop","Pop","Răsărit perfect",2022-05-13,03:13,74,68,23,0,50,0,30,-6,D Minor,4,2023-06-04,5KgKG8kXtuGrAdMogyAXso,"Global Records & Creator Records",7A,https://p.scdn.co/mp3-preview/63cf90e2246c1c44e9e35d40a3f6422e4a72e1a4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851acbaa4aa0f53fb04409c9854
7,"Mi-E Dor De Noi","DJ Project,Giulia",42,128,"romanian house, romanian pop, classic romanian pop","Pop, Electronic","Mi-E Dor De Noi",2011-06-14,04:07,64,92,0,0,78,0,40,-6,F#/G♭ Minor,4,2023-06-04,3bjPjviqPv3Z4iGL6prwH4,"2011 Cat Music",11A,https://p.scdn.co/mp3-preview/523c3d789a87088d3a2d83e599bc985ca98e0997?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851840db8b19c90405c6a44e1e5
8,"Numai tu! (cu DJ PROJECT)","Annais,DJ Project",36,114,"romanian house, romanian pop","Electronic, Pop","Numai tu! (cu DJ PROJECT)",2023-03-21,03:05,62,68,13,0,46,0,30,-7,C Major,4,2023-07-03,0gLguMbRrQIOO7JxkUx8w7,"Global Records",8B,https://p.scdn.co/mp3-preview/0d8786f4d704ab833b99f00bf998db28ff88561b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f098c94408590fce9e449e81
9,"Жіберем қалай? - Speed Up Version","Duman",40,185,"kazakh pop","Pop","Жіберем қалай? (Speed Up Version)",2022-07-27,01:54,55,70,51,0,33,10,20,-7,C Minor,4,2023-06-16,2DdrLh5vCviur3lGBORR4c,"Turan Media",5A,https://p.scdn.co/mp3-preview/afa13455bf7e68e2a582907af00c2bc9a8208bd5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485125e5942e789244ffad2979ce
10,"Оп-Оңай","Марат Думан",27,130,"kazakh pop","Pop","Оп-Оңай",2020-07-09,02:56,68,49,35,0,39,0,10,-7,F#/G♭ Minor,4,2023-06-16,66CjNb1x099d4dyuudJall,"Gakku",11A,https://p.scdn.co/mp3-preview/b909bd780326b111bc2287a5070015cbeb0d7a8d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bf9b25bb08f598e5d55f2138
11,"Unu - LLP Remix","3 Sud Est,LLP",17,98,"classic romanian pop, romanian pop, ","Pop","Unu (LLP Remix)",2023-04-22,02:57,72,74,9,0,36,0,10,-8,A Minor,4,2023-06-12,2qD1baxmlnIP2FAPydFaZo,"Cat Music",8A,https://p.scdn.co/mp3-preview/7d28ffc38e6baad976f3373b59e40c7dab2c818c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515debc9445ae0c2951fc0ecdc
12,"Ne Iubim","Iuliana Beregoi",41,120,"romanian pop","Pop","Dor De Voi",2021-04-30,02:54,69,65,16,0,47,0,20,-8,A#/B♭ Major,4,2023-06-13,4dY7bOGqPLIt55rYS9iZDz,"Mixton Music",6B,https://p.scdn.co/mp3-preview/5624b4afda76ee4106af3979027113008bb01e8b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a42c3e92f4036bfba351a138
13,"2 полюси","YULIYA ROZNEN",22,115,"ukrainian pop","Pop","2 полюси",2019-05-31,03:26,72,90,21,0,43,0,10,-4,D Major,4,2023-06-21,73pCLhW9cDEIHLsqLKjhiI,"YULIYA RÓZNEN",10B,https://p.scdn.co/mp3-preview/73e192470c0f6e3e1daa427cb7fd15e78d0c18fd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851fecb32e2623aa182e53536ac
14,"Film","Jala Brat",29,78,"balkan hip hop, turbo folk","Hip Hop, Folk/Acoustic","Film",2021-09-14,02:45,76,78,4,0,74,10,10,-6,G#/A♭ Minor,4,2023-06-22,0bLVelUaQJdiWExsfekCQ7,"IMPERIA by EMDC Network",1A,https://p.scdn.co/mp3-preview/c560b2064b1d5b9f640b9dbecea649da02d90c90?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851df09cf82338e5942a8888e01
15,"Bratz","Henny",53,105,"balkan trap, turbo folk","Hip Hop, Folk/Acoustic","Bratz",2022-09-22,02:17,78,75,11,0,66,0,20,-6,A#/B♭ Minor,4,2023-06-25,6iplO5oiDlFOVoRleic48f,"Generacija Zed",3A,https://p.scdn.co/mp3-preview/2a6deca5d88449b6f8f0ee14717f577d281ffcfe?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a642cfef88ce7cd3871934a9
