#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"Melodia","Melinda Ademi",0,99,"albanian pop","Pop","Melodia",2021-11-06,02:50,57,74,28,0,42,10,10,-7,D#/E♭ Minor,4,2023-06-03,4kyD4246gRwjuQTV2lZC1D,"℗ & © AVD Digital & Melinda Ademi",2A,,https://i.scdn.co/image/ab67616d000048514a5d20db28e1e8e89be5aa4e
2,"KARMA","Nego",34,91,"albanian pop","Pop","KARMA",2020-12-19,02:59,53,93,14,0,88,10,10,-5,G#/A♭ Minor,4,2023-06-03,4lSj5aP1q3o0Rj6WDLogkm,"Naser Ademi",1A,https://p.scdn.co/mp3-preview/987e13bf3e130626e2ac03c7ab6798114374c310?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516c300d046efecee754457efd
3,"Răsărit perfect","Olivia Addams",50,122,"romanian pop","Pop","Răsărit perfect",2022-05-13,03:13,74,68,23,0,50,0,30,-6,D Minor,4,2023-06-04,5KgKG8kXtuGrAdMogyAXso,"Global Records & Creator Records",7A,https://p.scdn.co/mp3-preview/63cf90e2246c1c44e9e35d40a3f6422e4a72e1a4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851acbaa4aa0f53fb04409c9854
4,"Mi-E Dor De Noi","DJ Project,Giulia",42,128,"romanian house, romanian pop, classic romanian pop","Pop, Electronic","Mi-E Dor De Noi",2011-06-14,04:07,64,92,0,0,78,0,40,-6,F#/G♭ Minor,4,2023-06-04,3bjPjviqPv3Z4iGL6prwH4,"2011 Cat Music",11A,https://p.scdn.co/mp3-preview/523c3d789a87088d3a2d83e599bc985ca98e0997?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851840db8b19c90405c6a44e1e5
5,"Numai tu! (cu DJ PROJECT)","Annais,DJ Project",35,114,"romanian house, romanian pop","Electronic, Pop","Numai tu! (cu DJ PROJECT)",2023-03-21,03:05,62,68,13,0,46,0,30,-7,C Major,4,2023-07-03,0gLguMbRrQIOO7JxkUx8w7,"Global Records",8B,https://p.scdn.co/mp3-preview/0d8786f4d704ab833b99f00bf998db28ff88561b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f098c94408590fce9e449e81
6,"Жіберем қалай? - Speed Up Version","Duman",41,185,"kazakh pop","Pop","Жіберем қалай? (Speed Up Version)",2022-07-27,01:54,55,70,51,0,33,10,20,-7,C Minor,4,2023-06-16,2DdrLh5vCviur3lGBORR4c,"Turan Media",5A,https://p.scdn.co/mp3-preview/afa13455bf7e68e2a582907af00c2bc9a8208bd5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485125e5942e789244ffad2979ce
7,"Unu - LLP Remix","3 Sud Est,LLP",13,98,"classic romanian pop, romanian pop, ","Pop","Unu (LLP Remix)",2023-04-22,02:57,72,74,9,0,36,0,10,-8,A Minor,4,2023-06-12,2qD1baxmlnIP2FAPydFaZo,"Cat Music",8A,https://p.scdn.co/mp3-preview/7d28ffc38e6baad976f3373b59e40c7dab2c818c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515debc9445ae0c2951fc0ecdc
8,"2 полюси","YULIYA ROZNEN",21,115,"ukrainian pop","Pop","2 полюси",2019-05-31,03:26,72,90,21,0,43,0,10,-4,D Major,4,2023-06-21,73pCLhW9cDEIHLsqLKjhiI,"YULIYA RÓZNEN",10B,https://p.scdn.co/mp3-preview/73e192470c0f6e3e1daa427cb7fd15e78d0c18fd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851fecb32e2623aa182e53536ac
9,"Моя","Роман Скорпіон",28,128,"ukrainian pop","Pop","Весільні пісні",2020-09-25,03:15,73,87,1,0,64,0,10,-6,G#/A♭ Major,4,2023-06-27,6TV92habUPzzmVU5sFpT2i,"BEST MUSIC",4B,https://p.scdn.co/mp3-preview/68adc37001ae789303a7c25ec2a9dca2ee454d9b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c6287b04386c16ea5dda5ae5
10,"Ljubavi Moja","Dado Polumenta,Elitni Odredi",44,128,"montenegrin pop, turbo folk","Pop, Folk/Acoustic","Ne Dam Ja Na Tebe",2013-00-00,03:35,54,81,25,0,55,0,0,-6,G Minor,4,2023-07-03,5dWiu96KHZpRog8pT8rM3S,"City Records",6A,https://p.scdn.co/mp3-preview/eef9e7642bce341e20525bf726e34649f7c6b602?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bf3fb6d4fe2b56642b6cdc97
